country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","20-04-2026 21:00:00",25.204762,85.514960,NH3,3,3,3
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","20-04-2026 21:00:00",25.204762,85.514960,SO2,9,10,10
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","20-04-2026 21:00:00",25.204762,85.514960,CO,43,118,70
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","20-04-2026 21:00:00",25.567520,83.966379,NO2,9,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","20-04-2026 21:00:00",25.567520,83.966379,SO2,25,32,29
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","20-04-2026 21:00:00",25.7808257,84.7446768,PM10,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","20-04-2026 21:00:00",24.7955,84.9994,OZONE,17,20,18
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","20-04-2026 21:00:00",24.792403,84.992416,NO2,8,13,11
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","20-04-2026 21:00:00",24.792403,84.992416,CO,1,34,8
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-04-2026 21:00:00",24.762518,84.982348,NH3,2,5,3
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-04-2026 21:00:00",25.697189,85.245900,PM10,80,343,124
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","20-04-2026 21:00:00",26.349082,92.68449,OZONE,4,11,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","20-04-2026 21:00:00",26.446912,91.439057,PM10,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","20-04-2026 21:00:00",26.446912,91.439057,OZONE,11,42,28
India,Assam,Silchar,"Tarapur, Silchar - PCBA","20-04-2026 21:00:00",24.82827,92.79525,SO2,5,6,5
India,Assam,Silchar,"Tarapur, Silchar - PCBA","20-04-2026 21:00:00",24.82827,92.79525,OZONE,2,5,4
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","20-04-2026 21:00:00",26.987634,94.636574,SO2,7,10,9
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","20-04-2026 21:00:00",26.146529,87.454184,PM10,37,129,83
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","20-04-2026 21:00:00",26.146529,87.454184,NH3,6,6,6
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","20-04-2026 21:00:00",25.5626095,84.663264,PM2.5,35,88,59
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","20-04-2026 21:00:00",25.5626095,84.663264,NO2,6,9,7
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","20-04-2026 21:00:00",25.610369,85.132568,SO2,1,21,13
India,Bihar,Patna,"Muradpur, Patna - BSPCB","20-04-2026 21:00:00",25.619651,85.147382,OZONE,4,6,5
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-04-2026 21:00:00",25.599486,85.113666,PM10,64,95,77
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-04-2026 21:00:00",25.599486,85.113666,NO2,29,34,31
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-04-2026 21:00:00",25.599486,85.113666,OZONE,26,35,30
India,Bihar,Patna,"Samanpura, Patna - BSPCB","20-04-2026 21:00:00",25.596727,85.085624,NO2,12,20,16
India,Bihar,Patna,"Samanpura, Patna - BSPCB","20-04-2026 21:00:00",25.596727,85.085624,OZONE,2,131,70
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","20-04-2026 21:00:00",25.366336,87.117468,PM2.5,57,82,70
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","20-04-2026 21:00:00",25.366336,87.117468,NH3,2,2,2
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","20-04-2026 21:00:00",25.366336,87.117468,SO2,5,17,16
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","20-04-2026 21:00:00",16.316553,80.413302,NO2,13,25,18
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","20-04-2026 21:00:00",16.316553,80.413302,NH3,3,5,4
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-04-2026 21:00:00",14.465052,78.824187,SO2,9,21,14
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","20-04-2026 21:00:00",16.186555,81.13219,NO2,4,15,10
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-04-2026 21:00:00",16.9872867,81.7363176,PM10,9,57,34
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-04-2026 21:00:00",16.9872867,81.7363176,CO,18,32,26
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","20-04-2026 21:00:00",13.67,79.35,NO2,22,86,46
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-04-2026 21:00:00",17.72,83.3,CO,3,51,25
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","20-04-2026 21:00:00",27.103358,93.679645,PM2.5,5,324,69
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","20-04-2026 21:00:00",27.103358,93.679645,NO2,7,9,8
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","20-04-2026 21:00:00",27.103358,93.679645,SO2,10,13,11
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","20-04-2026 21:00:00",26.071318,91.87488,SO2,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","20-04-2026 21:00:00",26.071318,91.87488,OZONE,15,48,34
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","20-04-2026 21:00:00",26.10887,91.589544,OZONE,10,13,11
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","20-04-2026 21:00:00",16.536107,80.594233,NH3,3,6,4
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","20-04-2026 21:00:00",16.536107,80.594233,SO2,10,19,16
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","20-04-2026 21:00:00",16.536107,80.594233,CO,19,38,33
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","20-04-2026 21:00:00",16.486692,80.699436,PM2.5,53,71,65
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","20-04-2026 21:00:00",16.486692,80.699436,NO2,25,42,34
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","20-04-2026 21:00:00",16.486692,80.699436,OZONE,41,59,47
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","20-04-2026 21:00:00",16.509717,80.612222,NH3,8,9,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-04-2026 21:00:00",17.72,83.3,PM2.5,10,73,32
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","20-04-2026 21:00:00",25.42742023,86.13886079,PM2.5,28,187,58
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","20-04-2026 21:00:00",26.80365,84.51954,NH3,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","20-04-2026 21:00:00",25.251013,86.989001,PM10,44,152,74
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","20-04-2026 21:00:00",25.251013,86.989001,NO2,11,14,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","20-04-2026 21:00:00",25.265194,87.012947,NH3,6,8,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","20-04-2026 21:00:00",25.265194,87.012947,CO,81,98,89
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","20-04-2026 21:00:00",25.265194,87.012947,OZONE,7,34,14
India,Bihar,Munger,"Town Hall, Munger - BSPCB","20-04-2026 21:00:00",25.376776,86.471523,OZONE,9,10,10
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-04-2026 21:00:00",26.11442,85.39813,NH3,9,23,13
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-04-2026 21:00:00",26.11442,85.39813,OZONE,21,120,81
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","20-04-2026 21:00:00",26.1403345,85.3650192,NO2,3,10,5
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-04-2026 21:00:00",26.1209,85.3647,PM2.5,62,110,81
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-04-2026 21:00:00",26.1209,85.3647,CO,8,59,34
